Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","49","Cuba","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","11236.971","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","49","Cuba","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","11338.134","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","279","Curaçao","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","162.752","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","54","Danemark","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","5497.729","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","54","Danemark","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","5752.126","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","72","Djibouti","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","816.358","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","72","Djibouti","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","958.923","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","55","Dominique","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","70.827","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","55","Dominique","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","71.625","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","59","Égypte","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","79636.079","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","59","Égypte","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","98423.598","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","60","El Salvador","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6131.764","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","60","El Salvador","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","6420.746","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","225","Émirats arabes unis","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","7089.487","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","225","Émirats arabes unis","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","9630.959","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","58","Équateur","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","14535.739","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","58","Équateur","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","17084.358","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","178","Érythrée","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3062.779","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","178","Érythrée","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","3452.786","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","203","Espagne","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","46068.811","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","203","Espagne","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","46692.858","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","63","Estonie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1340.073","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","63","Estonie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","1322.92","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","209","Eswatini","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1049.945","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","209","Eswatini","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","1136.281","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","231","États-Unis d'Amérique","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","303486.012","X","Sources internationales sûres",""
